economy_name,iso3,top500_count,year
United States,USA,171,2025
Japan,JPN,43,2025
Germany,DEU,40,2025
China,CHN,40,2025
France,FRA,23,2025
Canada,CAN,19,2025
Italy,ITA,18,2025
South Korea,KOR,15,2025
Taiwan,TWN,10,2025
Brazil,BRA,10,2025
United Kingdom,GBR,9,2025
Norway,NOR,9,2025
Poland,POL,8,2025
Sweden,SWE,8,2025
Netherlands,NLD,7,2025
Saudi Arabia,SAU,7,2025
India,IND,6,2025
Singapore,SGP,5,2025
United Arab Emirates,ARE,5,2025
Russia,RUS,5,2025
Australia,AUS,4,2025
Switzerland,CHE,3,2025
Finland,FIN,3,2025
Spain,ESP,3,2025
Czechia,CZE,3,2025
Israel,ISR,3,2025
Austria,AUT,2,2025
Turkey,TUR,2,2025
Slovenia,SVN,2,2025
Kazakhstan,KAZ,2,2025
Thailand,THA,2,2025
Ireland,IRL,2,2025
Vietnam,VNM,1,2025
Denmark,DNK,1,2025
Iceland,ISL,1,2025
Slovakia,SVK,1,2025
Luxembourg,LUX,1,2025
Bulgaria,BGR,1,2025
Argentina,ARG,1,2025
Portugal,PRT,1,2025
Morocco,MAR,1,2025
Hungary,HUN,1,2025
Belgium,BEL,1,2025
