country_name,iso3,action_key,description,target_indicator,target_axis,current_value,new_value,baseline_axis_score,new_axis_score,delta_axis_score,baseline_composite,new_composite,delta_composite,baseline_rank,new_rank,delta_rank,shift_artifact_flagged
United Kingdom,GBR,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,5.0,6.0,1.075,1.162,0.087,2.178,2.207,0.028,2,2,0,False
Canada,CAN,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,-0.272,-0.185,0.087,1.383,1.437,0.054,8,7,-1,False
France,FRA,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,1.0,2.0,0.679,0.766,0.087,1.928,1.959,0.031,3,3,0,False
Germany,DEU,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,1.0,3.0,0.097,0.472,0.375,1.411,1.543,0.131,7,7,0,False
Germany,DEU,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,-0.025,0.42,0.444,1.411,1.595,0.184,7,7,0,False
Germany,DEU,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,-0.025,0.062,0.087,1.411,1.452,0.04,7,7,0,False
Japan,JPN,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,1.0,2.0,0.427,0.514,0.087,1.764,1.797,0.034,4,4,0,False
India,IND,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,1.0,3.0,-0.441,-0.066,0.375,0.103,0.117,0.014,13,13,0,False
India,IND,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,-0.378,0.067,0.444,0.103,0.123,0.021,13,13,0,False
India,IND,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,-0.378,-0.291,0.087,0.103,0.107,0.005,13,13,0,False
Israel,ISR,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,0.0,3.0,-0.66,-0.097,0.563,0.132,0.165,0.033,12,12,0,False
Israel,ISR,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,-0.906,-0.462,0.444,0.132,0.552,0.421,12,10,-2,False
Israel,ISR,JOIN_AUSTRALIA_GROUP,Join Australia Group export-control regime,G6_australia_group,governance_orientation,0.0,1.0,-0.906,-0.674,0.232,0.132,0.132,0.0,12,12,0,True
Israel,ISR,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,1.0,2.0,-0.906,-0.819,0.087,0.132,0.132,0.0,12,12,0,True
